"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"11",-1.02744691744743,-0.996852560412424,-1.0401683956334,-0.928941723830305,-1.00841569492956,-1.04417580917607,-1.03034262237393,-0.84022812392366,-0.851775592066587,-0.877584865337457,-1.01178616375436,-0.991097824141096,-1.03135185754354,-0.933441147907386,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-0.793404987045646,-1.03062445707742,-1.01578504515386,-0.841317633171103,-0.932993950797065,-1.00857135331569,-1.00916884201266,-0.909347113717055,-1.04360969249741,-1.00905484390684,-0.924596355185981,-0.989041170129823,-0.938280397163186,-0.999503366295197,-0.962407195012106,-0.910450594456092,-1.02619786880765,-1.02090247343348,-1.03663891177805,-0.945066590349695,-1.02594213286235,-1.0470873894406,-1.00767544776564,-1.03283806286205,-0.947557852886188,-0.980051391907261,-1.02829874049218,-0.883547624975415,-1.04667150723829,-0.958683960025339,-1.04509946076435,-0.760161260484576
"12",-1.02744691744743,-0.996852560412424,-1.0401683956334,-0.928941723830305,-1.00841569492956,-1.04417580917607,-1.03034262237393,-0.84022812392366,-0.851775592066587,-0.877584865337457,-1.01178616375436,-1.02110708697581,-1.03135185754354,-0.933441147907386,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-1.02092437500553,-1.0463244048694,-1.01578504515386,-0.841317633171103,-0.953502747302542,-1.01420140446903,-1.00916884201266,-0.909347113717055,-1.04360969249741,-1.00905484390684,-0.924596355185981,-0.989041170129823,-0.938280397163186,-0.999503366295197,-0.962407195012106,-0.910450594456092,-1.02619786880765,-1.02090247343348,-1.03663891177805,-0.945066590349695,-1.0345120523037,-1.0470873894406,-1.00767544776564,-1.03283806286205,-0.981421362800985,-0.980051391907261,-1.02829874049218,-0.883547624975415,-1.04667150723829,-0.958683960025339,-1.04509946076435,-0.760161260484576
"13",-1.02744691744743,-1.02797545469309,-1.0401683956334,-0.928941723830305,-1.01131439310721,-1.04417580917607,-1.03034262237393,-0.84022812392366,-0.851775592066587,-0.877584865337457,-1.01178616375436,-1.02110708697581,-1.03135185754354,-0.933441147907386,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-1.04281486873919,-1.0463244048694,-1.01578504515386,-0.841317633171103,-0.953502747302542,-1.03671849925872,-1.00916884201266,-0.909347113717055,-1.04360969249741,-1.00905484390684,-0.963951463107459,-0.989041170129823,-1.0076216957195,-0.999503366295197,-0.962407195012106,-0.910450594456092,-1.02619786880765,-1.02090247343348,-1.03663891177805,-0.945066590349695,-1.0345120523037,-1.0470873894406,-1.00767544776564,-1.03283806286205,-0.981421362800985,-1.03303723536592,-1.02829874049218,-0.883547624975415,-1.04667150723829,-0.970258255592199,-1.04509946076435,-0.821236005140709
"14",-1.02744691744743,-1.02797545469309,-1.0401683956334,-1.03355624590861,-1.01131439310721,-1.04417580917607,-1.03034262237393,-0.84022812392366,-0.851775592066587,-0.877584865337457,-1.01178616375436,-1.02110708697581,-1.03135185754354,-0.937971543831182,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-1.04281486873919,-1.0463244048694,-1.01578504515386,-0.995018316360698,-0.953502747302542,-1.03671849925872,-1.00916884201266,-0.962831265806768,-1.04360969249741,-1.00905484390684,-1.00298040721748,-0.989041170129823,-1.0076216957195,-0.999503366295197,-1.0211083193139,-0.910450594456092,-1.02619786880765,-1.02090247343348,-1.03663891177805,-0.945066590349695,-1.0345120523037,-1.0470873894406,-1.00767544776564,-1.03283806286205,-0.981421362800985,-1.03303723536592,-1.02829874049218,-0.890553943952431,-1.04667150723829,-0.970258255592199,-1.04509946076435,-0.821236005140709
"15",-1.02744691744743,-1.0446814330074,-1.0401683956334,-1.03355624590861,-1.01131439310721,-1.04417580917607,-1.03034262237393,-0.84022812392366,-1.02961792585121,-0.877584865337457,-1.01178616375436,-1.02110708697581,-1.03135185754354,-0.937971543831182,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-1.04281486873919,-1.0463244048694,-1.01578504515386,-0.995018316360698,-0.953502747302542,-1.03671849925872,-1.00916884201266,-0.962831265806768,-1.04360969249741,-1.00905484390684,-1.00298040721748,-1.03071864566644,-1.03510791708636,-0.999503366295197,-1.0211083193139,-1.04559325559044,-1.02619786880765,-1.02090247343348,-1.03663891177805,-1.03373715591944,-1.0345120523037,-1.0470873894406,-1.00767544776564,-1.03283806286205,-0.981421362800985,-1.03303723536592,-1.02829874049218,-0.890553943952431,-1.04667150723829,-1.01245675095445,-1.04509946076435,-0.821236005140709
"16",-1.02744691744743,-1.0446814330074,-1.0401683956334,-1.03355624590861,-1.01131439310721,-1.04417580917607,-1.03034262237393,-0.84022812392366,-1.02961792585121,-1.04069070851029,-1.01178616375436,-1.02110708697581,-1.03135185754354,-0.937971543831182,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-1.04281486873919,-1.0463244048694,-1.01578504515386,-0.995018316360698,-1.03666972304833,-1.03671849925872,-1.00916884201266,-0.995689033211584,-1.04360969249741,-1.00905484390684,-1.00298040721748,-1.03071864566644,-1.03510791708636,-1.01216550900922,-1.0211083193139,-1.04559325559044,-1.02619786880765,-1.02090247343348,-1.03663891177805,-1.03392970770453,-1.0345120523037,-1.0470873894406,-1.01761942223008,-1.03283806286205,-0.981421362800985,-1.03303723536592,-1.02829874049218,-0.900831217304733,-1.04667150723829,-1.03353308025948,-1.04509946076435,-0.821236005140709
"17",-1.02744691744743,-1.0446814330074,-1.0401683956334,-1.03355624590861,-1.01131439310721,-1.04417580917607,-1.03034262237393,-0.84022812392366,-1.02961792585121,-1.04069070851029,-1.02621958324435,-1.02221578725207,-1.03135185754354,-0.937971543831182,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-1.04281486873919,-1.0463244048694,-1.01960004129708,-0.995018316360698,-1.03666972304833,-1.03671849925872,-1.00916884201266,-0.995689033211584,-1.04360969249741,-1.00905484390684,-1.00298040721748,-1.03071864566644,-1.03510791708636,-1.01216550900922,-1.0211083193139,-1.04559325559044,-1.02619786880765,-1.02090247343348,-1.03663891177805,-1.03849153844207,-1.03502594496548,-1.0470873894406,-1.01761942223008,-1.03283806286205,-0.981421362800985,-1.03303723536592,-1.02829874049218,-1.03356737465906,-1.04667150723829,-1.03353308025948,-1.04509946076435,-0.821236005140709
"18",-1.02744691744743,-1.04661558707305,-1.0401683956334,-1.03355624590861,-1.0244418786025,-1.04417580917607,-1.03034262237393,-0.84022812392366,-1.02961792585121,-1.04069070851029,-1.02621958324435,-1.02221578725207,-1.03135185754354,-1.03141951612115,-1.03551053996658,-1.02656365802174,-1.0416224346093,-0.991259792565069,-1.04281486873919,-1.0463244048694,-1.01960004129708,-0.995018316360698,-1.03666972304833,-1.03671849925872,-1.00916884201266,-0.995689033211584,-1.04360969249741,-1.00905484390684,-1.00298040721748,-1.03071864566644,-1.03510791708636,-1.01216550900922,-1.0211083193139,-1.04559325559044,-1.02619786880765,-1.02090247343348,-1.03663891177805,-1.03849153844207,-1.03502594496548,-1.0470873894406,-1.01761942223008,-1.03283806286205,-0.981421362800985,-1.03303723536592,-1.02829874049218,-1.03356737465906,-1.04667150723829,-1.03353308025948,-1.04509946076435,-0.821236005140709
"19",-1.02744691744743,-1.04661558707305,-1.0401683956334,-1.03446963286048,-1.0244418786025,-1.04417580917607,-1.03034262237393,-1.04058718238894,-1.03240803276771,-1.04069070851029,-1.02621958324435,-1.02221578725207,-1.03551897793729,-1.03751000294557,-1.03859121165245,-1.03071027433636,-1.0416224346093,-1.00585651295553,-1.04281486873919,-1.0463244048694,-1.01960004129708,-0.995018316360698,-1.03666972304833,-1.03857157429651,-1.00916884201266,-1.02760549525354,-1.04360969249741,-1.00905484390684,-1.02273052815892,-1.03071864566644,-1.03510791708636,-1.01216550900922,-1.0211083193139,-1.04559325559044,-1.02619786880765,-1.02090247343348,-1.03663891177805,-1.03849153844207,-1.03502594496548,-1.0470873894406,-1.01761942223008,-1.03283806286205,-0.981421362800985,-1.03303723536592,-1.03380252353033,-1.03356737465906,-1.04667150723829,-1.03353308025948,-1.04678079275405,-0.821236005140709
"20",-1.02744691744743,-1.04661558707305,-1.04165455886731,-1.0391198361539,-1.0244418786025,-1.04417580917607,-1.03034262237393,-1.04573420040298,-1.03240803276771,-1.04069070851029,-1.02621958324435,-1.02221578725207,-1.03551897793729,-1.03751000294557,-1.03859121165245,-1.03989399324705,-1.0416224346093,-1.00585651295553,-1.04281486873919,-1.0463244048694,-1.01960004129708,-1.04534707967423,-1.03666972304833,-1.03857157429651,-1.00916884201266,-1.02760549525354,-1.04360969249741,-1.00905484390684,-1.02273052815892,-1.03071864566644,-1.03510791708636,-1.01216550900922,-1.03264562239267,-1.04559325559044,-1.02619786880765,-1.02090247343348,-1.03663891177805,-1.03849153844207,-1.03502594496548,-1.0470873894406,-1.01761942223008,-1.03283806286205,-0.981421362800985,-1.03303723536592,-1.03380252353033,-1.03356737465906,-1.04667150723829,-1.03353308025948,-1.04678079275405,-1.04107529730193
